OBJECTID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,REGION_CODE,ADO_CODE,STATE_NAME,COUNTY_NAME,COUNTY_ASSOC_STATE,ARPT_NAME,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,SURVEY_METHOD_CODE,ELEV,ELEV_METHOD_CODE,MAG_VARN,MAG_HEMIS,MAG_VARN_YEAR,TPA,CHART_NAME,DIST_CITY_TO_AIRPORT,DIRECTION_CODE,ACREAGE,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,FSS_ON_ARPT_FLAG,FSS_ID,FSS_NAME,PHONE_NO,TOLL_FREE_NO,ALT_FSS_ID,ALT_FSS_NAME,ALT_TOLL_FREE_NO,NOTAM_ID,NOTAM_FLAG,ACTIVATION_DATE,ARPT_STATUS,FAR_139_TYPE_CODE,FAR_139_CARRIER_SER_CODE,ARFF_CERT_TYPE_DATE,NASP_CODE,ASP_ANLYS_DTRM_CODE,CUST_FLAG,LNDG_RIGHTS_FLAG,JOINT_USE_FLAG,MIL_LNDG_FLAG,INSPECT_METHOD_CODE,INSPECTOR_CODE,LAST_INSPECTION,LAST_INFO_RESPONSE,FUEL_TYPES,AIRFRAME_REPAIR_SER_CODE,PWR_PLANT_REPAIR_SER,BOTTLED_OXY_TYPE,BULK_OXY_TYPE,LGT_SKED,BCN_LGT_SKED,TWR_TYPE_CODE,SEG_CIRCLE_MKR_FLAG,BCN_LENS_COLOR,LNDG_FEE_FLAG,MEDICAL_USE_FLAG,ARPT_PSN_SOURCE,POSITION_SRC_DATE,ARPT_ELEV_SOURCE,ELEVATION_SRC_DATE,CONTR_FUEL_AVBL,TRNS_STRG_BUOY_FLAG,TRNS_STRG_HGR_FLAG,TRNS_STRG_TIE_FLAG,OTHER_SERVICES,WIND_INDCR_FLAG,ICAO_ID,MIN_OP_NETWORK,USER_FEE_FLAG,CTA,x,y
12780,2025/11/27,19345.,A,OR,S12,ALBANY,US,ANM,SEA,OREGON,LINN,OR,ALBANY MUNI,PU,PU,44,38,16.135,N,44.63781527,123,3,34.016,W,-123.05944888,E,226.5,S,15,E,2025,,SEATTLE,3,E,147,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1940/01,O,,,,NGY,NOT ANALYZED,N,N,N,Y,S,S,2023/08/23,,100LL,NONE,NONE,NONE,,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2017/07/29,3RD PARTY SURVEY,2017/07/29,,,,Y,"INSTR,RNTL,SALES",Y-L,,N,,,-13698915.1866,5564681.9966
12789,2025/11/27,19346.75,A,OR,R03,ALKALI LAKE,US,ANM,SEA,OREGON,LAKE,OR,ALKALI LAKE STATE,PU,PU,43,5,14.542,N,43.08737277,119,58,33.864,W,-119.97607333,E,4312,S,18,E,1985,,KLAMATH FALLS,8,N,147,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1943/11,O,,,,,NOT ANALYZED,,,,,S,S,2023/05/30,,,NONE,NONE,,,,,NON-ATCT,N,,N,,,,,,,,,N,,Y,,N,,,-13355675.3905,5325280.3434
12795,2025/11/27,19348.,A,OR,1S8,ARLINGTON,US,ANM,SEA,OREGON,GILLIAM,OR,ARLINGTON MUNI,PU,PU,45,43,21.2,N,45.72255555,120,10,37.1,W,-120.17697222,E,890,S,19,E,1985,,SEATTLE,1,NE,80,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1943/12,O,,,,,NOT ANALYZED,N,N,,,S,S,2023/01/11,1980/07/05,,NONE,NONE,NONE,NONE,,,NON-ATCT,N,,N,,FAA-EST,2010/08/24,,,,,,Y,AGRI,Y,,N,,,-13378039.3526,5735999.4798
12798,2025/11/27,19352.1,A,OR,S03,ASHLAND,US,ANM,SEA,OREGON,JACKSON,OR,ASHLAND MUNI/SUMNER PARKER FLD,PU,PU,42,11,25,N,42.19027777,122,39,38.3,W,-122.66063888,E,1888.5,S,18,E,1985,1015,KLAMATH FALLS,2,E,94,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1947/04,O,,,,NGY,NO OBJECTION,N,N,N,Y,S,S,2024/05/02,1981/07/01,"100LL,A",MAJOR,MAJOR,LOW,NONE,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2017/11/22,3RD PARTY SURVEY,2017/11/22,,,,Y,"CHTR,INSTR,RNTL,SURV",Y-L,,N,,,-13654519.8605,5189524.8836
12800,2025/11/27,19354.,A,OR,AST,ASTORIA,US,ANM,SEA,OREGON,CLATSOP,OR,ASTORIA RGNL,PU,PU,46,9,28.722,N,46.15797833,123,52,43.045,W,-123.87862361,E,14.7,S,15,E,2020,,SEATTLE,3,SW,870,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,AST,Y,1938/07,O,,,,NGPY3,NOT ANALYZED,N,N,N,Y,F,S,2025/09/29,,"100LL,A,A+",MAJOR,MINOR,NONE,NONE,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2022/09/23,3RD PARTY SURVEY,2022/09/23,,,N,Y,"AFRT,AMB,CARGO,INSTR,RNTL",Y-L,KAST,N,,,-13790105.3004,5805701.6009
12807,2025/11/27,19356.,A,OR,UAO,AURORA,US,ANM,SEA,OREGON,MARION,OR,AURORA STATE,PU,PU,45,14,49.655,N,45.24712638,122,46,12.169,W,-122.77004694,E,199.6,S,15,E,2020,,SEATTLE,1,NW,144,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,UAO,Y,1943/12,O,,,,NGY,NOT ANALYZED,N,N,N,Y,S,S,2024/09/12,,"100LL,A",MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,ATCT,Y,WG,N,,3RD PARTY SURVEY,2022/08/20,3RD PARTY SURVEY,2022/08/20,,,,Y,"AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KUAO,Y,,,-13666699.11,5660510.7422
12812,2025/11/27,19358.,A,OR,BKE,BAKER CITY,US,ANM,SEA,OREGON,BAKER,OR,BAKER CITY MUNI,PU,PU,44,50,14.445,N,44.83734583,117,48,32.903,W,-117.80913972,E,3373.2,S,16,E,2005,,SEATTLE,3,N,398,ZLC,ZCU,SALT LAKE CITY,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,BKE,Y,1938/01,O,,,,NGPY3,NOT ANALYZED,N,N,N,Y,S,S,2025/09/24,1982/06/21,"100LL,A",MINOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2022/09/30,3RD PARTY SURVEY,2022/09/30,,,Y,Y,"CHTR,INSTR,RNTL,SALES",Y-L,KBKE,Y,,,-13114453.4444,5595951.1598
12815,2025/11/27,19362.1,A,OR,S05,BANDON,US,ANM,SEA,OREGON,COOS,OR,BANDON STATE,PU,PU,43,5,11.3,N,43.08647222,124,24,28.3,W,-124.40786111,E,122.1,S,18,E,1985,,KLAMATH FALLS,2,SE,132,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1958/01,O,,,,NGY,NOT ANALYZED,N,N,N,N,S,S,2024/02/16,,100LL,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2006/01/31,3RD PARTY SURVEY,2006/01/31,,,,Y,"INSTR,RNTL,SALES",Y-L,,N,,,-13849019.7494,5325143.0762
12821,2025/11/27,19365.,A,OR,2S2,BEAVER MARSH,US,ANM,SEA,OREGON,KLAMATH,OR,BEAVER MARSH,PR,PU,43,7,39.1,N,43.12752777,121,48,31.4,W,-121.80872222,E,4638,E,18,E,1985,,KLAMATH FALLS,1,SW,46,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1944/12,O,,,,2,NOT ANALYZED,N,N,N,,S,S,2023/08/09,,,NONE,NONE,NONE,NONE,SS-SR,SS-SR,NON-ATCT,N,WG,N,,FAA-EST,2010/10/08,,,,,,,,Y,,N,,,-13559684.9317,5331403.0624
12825,2025/11/27,19371.,A,OR,BDN,BEND,US,ANM,SEA,OREGON,DESCHUTES,OR,BEND MUNI,PU,PU,44,5,40.419,N,44.09456083,121,12,0.796,W,-121.20022111,E,3459.4,S,14,E,2025,,KLAMATH FALLS,5,NE,415,ZSE,ZCS,SEATTLE,N,MMV,MC MINNVILLE,,1-800-WX-BRIEF,,,,MMV,Y,1942/06,O,,,,NGSY,NOT ANALYZED,N,N,N,Y,S,S,2023/01/11,,"100LL,A",MAJOR,MAJOR,HIGH/LOW,HIGH,SEE RMK,SS-SR,NON-ATCT,Y,WG,N,,3RD PARTY SURVEY,2018/08/05,3RD PARTY SURVEY,2018/08/05,,,Y,Y,"AVNCS,CHTR,GLD,INSTR,RNTL,SALES,TOW",Y-L,KBDN,N,,,-13491946.898,5480087.3698
