OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
5826,2025/11/27,19345.,A,OR,S12,ALBANY MUNI,ALBANY,US,PU,PU,16/34,44.64193833,-123.05945563,44.63369891,-123.05943908,3004,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2017/07/29,30,43,71,,41342.9609375,2642.16099920878
5829,2025/11/27,19348.,A,OR,1S8,ARLINGTON MUNI,ARLINGTON,US,PU,PU,06/24,45.7218623,-120.18671788,45.72325255,-120.1672375,5000,50,TURF,GOOD,NONE,,,,,,,,,,,,,47658.0390625,4403.42036496992
5830,2025/11/27,19352.1,A,OR,S03,ASHLAND MUNI/SUMNER PARKER FLD,ASHLAND,US,PU,PU,12/30,42.19414277,-122.66478886,42.18642883,-122.65647372,3603,75,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2017/11/22,15,,,,45760.53125,3028.2137030941
5832,2025/11/27,19354.,A,OR,AST,ASTORIA RGNL,ASTORIA,US,PU,PU,08/26,46.15983425,-123.88974263,46.15831419,-123.86698386,5794,100,ASPH,,NONE,,,,,,MED,3RD PARTY SURVEY,2022/09/23,60,76,119,,112165.34375,5178.6282467831
5833,2025/11/27,19354.,A,OR,AST,ASTORIA RGNL,ASTORIA,US,PU,PU,14/32,46.16204283,-123.88287908,46.15106925,-123.87504508,4467,100,ASPH,EXCELLENT,NONE,,,,,,MED,3RD PARTY SURVEY,2022/09/23,60,76,119,,86473.0859375,4022.63619952086
5835,2025/11/27,19356.,A,OR,UAO,AURORA STATE,AURORA,US,PU,PU,17/35,45.25393408,-122.76883975,45.24031869,-122.77125408,5003,100,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,2022/08/20,30,45,,,93768.28125,4425.4062050869
5836,2025/11/27,19358.,A,OR,BKE,BAKER CITY MUNI,BAKER CITY,US,PU,PU,08/26,44.83692427,-117.81427416,44.83574225,-117.80022869,3670,140,ASPH,FAIR,NONE,,,,,,,3RD PARTY SURVEY,2022/09/30,30,,,,94905.453125,3269.5662015705
5837,2025/11/27,19358.,A,OR,BKE,BAKER CITY MUNI,BAKER CITY,US,PU,PU,13/31,44.84224516,-117.81338444,44.83132994,-117.80119486,5084,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2022/09/30,50,65,,,93915.0078125,4457.37741947814
5838,2025/11/27,19358.,A,OR,BKE,BAKER CITY MUNI,BAKER CITY,US,PU,PU,17/35,44.84482502,-117.81271238,44.83287327,-117.81306386,4359,75,ASPH,GOOD,NONE,,,,,,,3RD PARTY SURVEY,2022/09/30,30,,,,60401.1796875,3817.76240901632
5839,2025/11/27,19362.1,A,OR,S05,BANDON STATE,BANDON,US,PU,PU,16/34,43.09139575,-124.40808011,43.08152386,-124.40764608,3601,60,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2006/01/31,12,,,,37640.3828125,3060.99764323345
5841,2025/11/27,19365.,A,OR,2S2,BEAVER MARSH,BEAVER MARSH,US,PR,PU,18/36,43.13342988,-121.80621555,43.12163794,-121.81122369,4500,60,DIRT,POOR,NONE,,,,,,LOW,,,,,,,47125.2109375,3816.08067670306
5842,2025/11/27,19371.,A,OR,BDN,BEND MUNI,BEND,US,PU,PU,16/34,44.10169211,-121.20021444,44.08742938,-121.20022752,5201,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2018/08/05,30,,,,70253.0078125,4484.99107315576
5843,2025/11/27,19374.,A,OR,M50,BOARDMAN,BOARDMAN,US,PU,PU,04/22,45.81214527,-119.82778972,45.81750416,-119.81321055,4200,100,ASPH,GOOD,NONE,,,,,,MED,NGS,1993/02/23,30,,,,80306.3828125,3757.15665962731
5845,2025/11/27,19374.51,A,OR,BOK,BROOKINGS,BROOKINGS,US,PU,PU,12/30,42.077123,-124.29296408,42.07073538,-124.28658933,2901,60,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2017/11/16,11,,,,29366.359375,2433.58584803369
5846,2025/11/27,19377.,A,OR,BNO,BURNS MUNI,BURNS,US,PU,PU,03/21,43.58746508,-118.95971841,43.59598602,-118.94691636,4600,60,CONC,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2021/10/08,30,,,,48887.5078125,3921.5169183735
5847,2025/11/27,19377.,A,OR,BNO,BURNS MUNI,BURNS,US,PU,PU,12/30,43.59697583,-118.96421275,43.58716766,-118.95048533,5101,75,CONC,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2021/10/08,30,50,90,,67765.65625,4356.28123892829
5848,2025/11/27,19381.,A,OR,3S4,ILLINOIS VALLEY,CAVE JUNCTION,US,PU,PU,18/36,42.10992027,-123.67988444,42.09728011,-123.68494852,4807,60,ASPH,GOOD,NONE,,,,,,MED,ADO,2006/10/31,20,30,,,48710.390625,4006.30926773662
5849,2025/11/27,19403.,A,OR,2S7,CHILOQUIN STATE,CHILOQUIN,US,PU,PU,17/35,42.58443458,-121.87829197,42.5742023,-121.87973633,3749,60,ASPH,GOOD,NONE,,,,,,MED,ADO,2012/11/05,10,,,,38568.796875,3160.081142659
5850,2025/11/27,19403.3,A,OR,62S,CHRISTMAS VALLEY,CHRISTMAS VALLEY,US,PU,PU,07/25,43.2362885,-120.67444377,43.23621697,-120.65493619,5200,60,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,2015/05/24,12,,,,54621.5546875,4393.50784563539
5851,2025/11/27,19403.5,A,OR,3S6,TOKETEE STATE,CLEARWATER,US,PU,PU,11/29,43.22815247,-122.42886708,43.21873819,-122.41346147,5350,60,TURF,GOOD,NONE,,,,,,,,,,,,,56201.4921875,4526.57098776195
